time,target,action,lib,width,height,mem_before_mb,mem_after_mb,mem_delta_mb,cpu_pct,elapsed_s
2026-09-14 18:11:19,webcam#8,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0281
2026-09-14 18:11:19,webcam#9,frame,opencv,640,480,124.2,124.2,0.0,97.3,0.032
2026-09-14 18:11:19,webcam#10,frame,opencv,640,480,124.2,124.2,0.0,49.6,0.0314
2026-09-14 18:11:19,webcam#11,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0328
2026-09-14 18:11:19,webcam#12,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0312
2026-09-14 18:11:19,webcam#13,frame,opencv,640,480,124.2,124.2,0.0,46.5,0.0334
2026-09-14 18:11:19,webcam#14,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0307
2026-09-14 18:11:19,webcam#15,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.033
2026-09-14 18:11:19,webcam#16,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0305
2026-09-14 18:11:19,webcam#17,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0319
2026-09-14 18:11:19,webcam#18,frame,opencv,640,480,124.2,124.2,0.0,46.7,0.0333
2026-09-14 18:11:19,webcam#19,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0464
2026-09-14 18:11:19,webcam#20,frame,opencv,640,480,124.2,124.2,0.0,48.7,0.032
2026-09-14 18:11:19,webcam#21,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0329
2026-09-14 18:11:19,webcam#22,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0309
2026-09-14 18:11:19,webcam#23,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0326
2026-09-14 18:11:19,webcam#24,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0309
2026-09-14 18:11:19,webcam#25,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0334
2026-09-14 18:11:19,webcam#26,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.031
2026-09-14 18:11:19,webcam#27,frame,opencv,640,480,124.2,124.2,0.0,48.8,0.0319
2026-09-14 18:11:19,webcam#28,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.032
2026-09-14 18:11:19,webcam#29,frame,opencv,640,480,124.2,124.2,0.0,50.2,0.031
2026-09-14 18:11:19,webcam#30,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0318
2026-09-14 18:11:19,webcam#31,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0336
2026-09-14 18:11:19,webcam#32,frame,opencv,640,480,124.2,124.2,0.0,48.8,0.0319
2026-09-14 18:11:20,webcam#33,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0459
2026-09-14 18:11:20,webcam#34,frame,opencv,640,480,124.2,124.2,0.0,49.2,0.0317
2026-09-14 18:11:20,webcam#35,frame,opencv,640,480,124.2,124.2,0.0,47.0,0.0331
2026-09-14 18:11:20,webcam#36,frame,opencv,640,480,124.2,124.2,0.0,50.0,0.0311
2026-09-14 18:11:20,webcam#37,frame,opencv,640,480,124.2,124.2,0.0,47.2,0.033
2026-09-14 18:11:20,webcam#38,frame,opencv,640,480,124.2,124.2,0.0,50.4,0.0308
2026-09-14 18:11:20,webcam#39,frame,opencv,640,480,124.2,124.2,0.0,95.7,0.0325
2026-09-14 18:11:20,webcam#40,frame,opencv,640,480,124.2,124.2,0.0,96.8,0.0321
